periodo	product_id	tn	tn_lag_1	tn_lag_2	tn_lag_3	tn_lag_4	tn_lag_5	tn_lag_6	tn_lag_7	tn_lag_8	tn_lag_9	tn_lag_10	tn_lag_11	tn_target
201912	20002	1087.30855	1423.5773900000002	1979.53635	1090.18771	813.78215	1066.44999	928.36431	1034.98927	1287.62346	1083.62552	1043.01349	1266.7875099999999	
201701	20003	1063.45835												917.16548
201702	20003	752.1152	1063.45835											525.82591
201703	20003	917.16548	752.1152	1063.45835										620.48202
201704	20003	525.82591	917.16548	752.1152	1063.45835									744.08829
201705	20003	620.48202	525.82591	917.16548	752.1152	1063.45835								785.12398
201706	20003	744.08829	620.48202	525.82591	917.16548	752.1152	1063.45835							864.21928
201707	20003	785.12398	744.08829	620.48202	525.82591	917.16548	752.1152	1063.45835						1465.83347
201708	20003	864.21928	785.12398	744.08829	620.48202	525.82591	917.16548	752.1152	1063.45835					1958.59845
201709	20003	1465.83347	864.21928	785.12398	744.08829	620.48202	525.82591	917.16548	752.1152	1063.45835				1426.23717
201710	20003	1958.59845	1465.83347	864.21928	785.12398	744.08829	620.48202	525.82591	917.16548	752.1152	1063.45835			961.66344
201711	20003	1426.23717	1958.59845	1465.83347	864.21928	785.12398	744.08829	620.48202	525.82591	917.16548	752.1152	1063.45835		907.56304
201712	20003	961.66344	1426.23717	1958.59845	1465.83347	864.21928	785.12398	744.08829	620.48202	525.82591	917.16548	752.1152	1063.45835	788.30749
201801	20003	907.56304	961.66344	1426.23717	1958.59845	1465.83347	864.21928	785.12398	744.08829	620.48202	525.82591	917.16548	752.1152	778.55594
201802	20003	788.30749	907.56304	961.66344	1426.23717	1958.59845	1465.83347	864.21928	785.12398	744.08829	620.48202	525.82591	917.16548	765.47838
201803	20003	778.55594	788.30749	907.56304	961.66344	1426.23717	1958.59845	1465.83347	864.21928	785.12398	744.08829	620.48202	525.82591	784.35885
201804	20003	765.47838	778.55594	788.30749	907.56304	961.66344	1426.23717	1958.59845	1465.83347	864.21928	785.12398	744.08829	620.48202	660.73323
201805	20003	784.35885	765.47838	778.55594	788.30749	907.56304	961.66344	1426.23717	1958.59845	1465.83347	864.21928	785.12398	744.08829	656.227
201806	20003	660.73323	784.35885	765.47838	778.55594	788.30749	907.56304	961.66344	1426.23717	1958.59845	1465.83347	864.21928	785.12398	955.97079
201807	20003	656.227	660.73323	784.35885	765.47838	778.55594	788.30749	907.56304	961.66344	1426.23717	1958.59845	1465.83347	864.21928	912.34156
201808	20003	955.97079	656.227	660.73323	784.35885	765.47838	778.55594	788.30749	907.56304	961.66344	1426.23717	1958.59845	1465.83347	1313.34211
201809	20003	912.34156	955.97079	656.227	660.73323	784.35885	765.47838	778.55594	788.30749	907.56304	961.66344	1426.23717	1958.59845	1206.9177300000001
201810	20003	1313.34211	912.34156	955.97079	656.227	660.73323	784.35885	765.47838	778.55594	788.30749	907.56304	961.66344	1426.23717	769.82869
201811	20003	1206.9177300000001	1313.34211	912.34156	955.97079	656.227	660.73323	784.35885	765.47838	778.55594	788.30749	907.56304	961.66344	964.76919
201812	20003	769.82869	1206.9177300000001	1313.34211	912.34156	955.97079	656.227	660.73323	784.35885	765.47838	778.55594	788.30749	907.56304	758.3265700000001
201901	20003	964.76919	769.82869	1206.9177300000001	1313.34211	912.34156	955.97079	656.227	660.73323	784.35885	765.47838	778.55594	788.30749	638.0401
201902	20003	758.3265700000001	964.76919	769.82869	1206.9177300000001	1313.34211	912.34156	955.97079	656.227	660.73323	784.35885	765.47838	778.55594	565.33774
201903	20003	638.0401	758.3265700000001	964.76919	769.82869	1206.9177300000001	1313.34211	912.34156	955.97079	656.227	660.73323	784.35885	765.47838	590.12515
201904	20003	565.33774	638.0401	758.3265700000001	964.76919	769.82869	1206.9177300000001	1313.34211	912.34156	955.97079	656.227	660.73323	784.35885	662.3865400000001
201905	20003	590.12515	565.33774	638.0401	758.3265700000001	964.76919	769.82869	1206.9177300000001	1313.34211	912.34156	955.97079	656.227	660.73323	715.20314
201906	20003	662.3865400000001	590.12515	565.33774	638.0401	758.3265700000001	964.76919	769.82869	1206.9177300000001	1313.34211	912.34156	955.97079	656.227	635.59563
201907	20003	715.20314	662.3865400000001	590.12515	565.33774	638.0401	758.3265700000001	964.76919	769.82869	1206.9177300000001	1313.34211	912.34156	955.97079	967.77116
201908	20003	635.59563	715.20314	662.3865400000001	590.12515	565.33774	638.0401	758.3265700000001	964.76919	769.82869	1206.9177300000001	1313.34211	912.34156	1081.36645
201909	20003	967.77116	635.59563	715.20314	662.3865400000001	590.12515	565.33774	638.0401	758.3265700000001	964.76919	769.82869	1206.9177300000001	1313.34211	948.29393
201910	20003	1081.36645	967.77116	635.59563	715.20314	662.3865400000001	590.12515	565.33774	638.0401	758.3265700000001	964.76919	769.82869	1206.9177300000001	892.5012899999999
201911	20003	948.29393	1081.36645	967.77116	635.59563	715.20314	662.3865400000001	590.12515	565.33774	638.0401	758.3265700000001	964.76919	769.82869	
201912	20003	892.5012899999999	948.29393	1081.36645	967.77116	635.59563	715.20314	662.3865400000001	590.12515	565.33774	638.0401	758.3265700000001	964.76919	
201701	20004	555.9161399999999												489.91328
201702	20004	508.20044	555.9161399999999											512.05402
201703	20004	489.91328	508.20044	555.9161399999999										543.3667
201704	20004	512.05402	489.91328	508.20044	555.9161399999999									590.50779
201705	20004	543.3667	512.05402	489.91328	508.20044	555.9161399999999								569.88117
201706	20004	590.50779	543.3667	512.05402	489.91328	508.20044	555.9161399999999							1042.52979
201707	20004	569.88117	590.50779	543.3667	512.05402	489.91328	508.20044	555.9161399999999						1259.6456
201708	20004	1042.52979	569.88117	590.50779	543.3667	512.05402	489.91328	508.20044	555.9161399999999					1268.21209
201709	20004	1259.6456	1042.52979	569.88117	590.50779	543.3667	512.05402	489.91328	508.20044	555.9161399999999				897.42607
201710	20004	1268.21209	1259.6456	1042.52979	569.88117	590.50779	543.3667	512.05402	489.91328	508.20044	555.9161399999999			568.79679
201711	20004	897.42607	1268.21209	1259.6456	1042.52979	569.88117	590.50779	543.3667	512.05402	489.91328	508.20044	555.9161399999999		415.52538
201712	20004	568.79679	897.42607	1268.21209	1259.6456	1042.52979	569.88117	590.50779	543.3667	512.05402	489.91328	508.20044	555.9161399999999	503.65326
201801	20004	415.52538	568.79679	897.42607	1268.21209	1259.6456	1042.52979	569.88117	590.50779	543.3667	512.05402	489.91328	508.20044	488.92473
201802	20004	503.65326	415.52538	568.79679	897.42607	1268.21209	1259.6456	1042.52979	569.88117	590.50779	543.3667	512.05402	489.91328	611.51237
201803	20004	488.92473	503.65326	415.52538	568.79679	897.42607	1268.21209	1259.6456	1042.52979	569.88117	590.50779	543.3667	512.05402	641.37063
201804	20004	611.51237	488.92473	503.65326	415.52538	568.79679	897.42607	1268.21209	1259.6456	1042.52979	569.88117	590.50779	543.3667	447.84475
201805	20004	641.37063	611.51237	488.92473	503.65326	415.52538	568.79679	897.42607	1268.21209	1259.6456	1042.52979	569.88117	590.50779	653.4231
201806	20004	447.84475	641.37063	611.51237	488.92473	503.65326	415.52538	568.79679	897.42607	1268.21209	1259.6456	1042.52979	569.88117	936.42001
201807	20004	653.4231	447.84475	641.37063	611.51237	488.92473	503.65326	415.52538	568.79679	897.42607	1268.21209	1259.6456	1042.52979	948.86342
201808	20004	936.42001	653.4231	447.84475	641.37063	611.51237	488.92473	503.65326	415.52538	568.79679	897.42607	1268.21209	1259.6456	809.6708600000001
201809	20004	948.86342	936.42001	653.4231	447.84475	641.37063	611.51237	488.92473	503.65326	415.52538	568.79679	897.42607	1268.21209	802.34669
201810	20004	809.6708600000001	948.86342	936.42001	653.4231	447.84475	641.37063	611.51237	488.92473	503.65326	415.52538	568.79679	897.42607	585.56477
201811	20004	802.34669	809.6708600000001	948.86342	936.42001	653.4231	447.84475	641.37063	611.51237	488.92473	503.65326	415.52538	568.79679	511.33713
201812	20004	585.56477	802.34669	809.6708600000001	948.86342	936.42001	653.4231	447.84475	641.37063	611.51237	488.92473	503.65326	415.52538	441.70332
201901	20004	511.33713	585.56477	802.34669	809.6708600000001	948.86342	936.42001	653.4231	447.84475	641.37063	611.51237	488.92473	503.65326	619.77084
201902	20004	441.70332	511.33713	585.56477	802.34669	809.6708600000001	948.86342	936.42001	653.4231	447.84475	641.37063	611.51237	488.92473	466.70901
201903	20004	619.77084	441.70332	511.33713	585.56477	802.34669	809.6708600000001	948.86342	936.42001	653.4231	447.84475	641.37063	611.51237	603.3108100000001
201904	20004	466.70901	619.77084	441.70332	511.33713	585.56477	802.34669	809.6708600000001	948.86342	936.42001	653.4231	447.84475	641.37063	667.19411
201905	20004	603.3108100000001	466.70901	619.77084	441.70332	511.33713	585.56477	802.34669	809.6708600000001	948.86342	936.42001	653.4231	447.84475	521.71519
201906	20004	667.19411	603.3108100000001	466.70901	619.77084	441.70332	511.33713	585.56477	802.34669	809.6708600000001	948.86342	936.42001	653.4231	482.13372
201907	20004	521.71519	667.19411	603.3108100000001	466.70901	619.77084	441.70332	511.33713	585.56477	802.34669	809.6708600000001	948.86342	936.42001	786.1714
201908	20004	482.13372	521.71519	667.19411	603.3108100000001	466.70901	619.77084	441.70332	511.33713	585.56477	802.34669	809.6708600000001	948.86342	1064.69633
201909	20004	786.1714	482.13372	521.71519	667.19411	603.3108100000001	466.70901	619.77084	441.70332	511.33713	585.56477	802.34669	809.6708600000001	723.94206
201910	20004	1064.69633	786.1714	482.13372	521.71519	667.19411	603.3108100000001	466.70901	619.77084	441.70332	511.33713	585.56477	802.34669	637.90002
201911	20004	723.94206	1064.69633	786.1714	482.13372	521.71519	667.19411	603.3108100000001	466.70901	619.77084	441.70332	511.33713	585.56477	
201912	20004	637.90002	723.94206	1064.69633	786.1714	482.13372	521.71519	667.19411	603.3108100000001	466.70901	619.77084	441.70332	511.33713	
201701	20005	494.27011												563.89955
201702	20005	551.4306	494.27011											662.59032
201703	20005	563.89955	551.4306	494.27011										515.58711
201704	20005	662.59032	563.89955	551.4306	494.27011									528.58883
201705	20005	515.58711	662.59032	563.89955	551.4306	494.27011								625.84925
201706	20005	528.58883	515.58711	662.59032	563.89955	551.4306	494.27011							1068.01865
201707	20005	625.84925	528.58883	515.58711	662.59032	563.89955	551.4306	494.27011						1247.8888
201708	20005	1068.01865	625.84925	528.58883	515.58711	662.59032	563.89955	551.4306	494.27011					875.13411
201709	20005	1247.8888	1068.01865	625.84925	528.58883	515.58711	662.59032	563.89955	551.4306	494.27011				776.7654200000001
201710	20005	875.13411	1247.8888	1068.01865	625.84925	528.58883	515.58711	662.59032	563.89955	551.4306	494.27011			329.42894
201711	20005	776.7654200000001	875.13411	1247.8888	1068.01865	625.84925	528.58883	515.58711	662.59032	563.89955	551.4306	494.27011		417.53208
201712	20005	329.42894	776.7654200000001	875.13411	1247.8888	1068.01865	625.84925	528.58883	515.58711	662.59032	563.89955	551.4306	494.27011	399.20878
201801	20005	417.53208	329.42894	776.7654200000001	875.13411	1247.8888	1068.01865	625.84925	528.58883	515.58711	662.59032	563.89955	551.4306	559.98671
201802	20005	399.20878	417.53208	329.42894	776.7654200000001	875.13411	1247.8888	1068.01865	625.84925	528.58883	515.58711	662.59032	563.89955	496.41774
201803	20005	559.98671	399.20878	417.53208	329.42894	776.7654200000001	875.13411	1247.8888	1068.01865	625.84925	528.58883	515.58711	662.59032	637.11135
201804	20005	496.41774	559.98671	399.20878	417.53208	329.42894	776.7654200000001	875.13411	1247.8888	1068.01865	625.84925	528.58883	515.58711	547.62513
201805	20005	637.11135	496.41774	559.98671	399.20878	417.53208	329.42894	776.7654200000001	875.13411	1247.8888	1068.01865	625.84925	528.58883	502.34077
201806	20005	547.62513	637.11135	496.41774	559.98671	399.20878	417.53208	329.42894	776.7654200000001	875.13411	1247.8888	1068.01865	625.84925	874.88924
201807	20005	502.34077	547.62513	637.11135	496.41774	559.98671	399.20878	417.53208	329.42894	776.7654200000001	875.13411	1247.8888	1068.01865	761.7752
201808	20005	874.88924	502.34077	547.62513	637.11135	496.41774	559.98671	399.20878	417.53208	329.42894	776.7654200000001	875.13411	1247.8888	893.74086
201809	20005	761.7752	874.88924	502.34077	547.62513	637.11135	496.41774	559.98671	399.20878	417.53208	329.42894	776.7654200000001	875.13411	469.26344
201810	20005	893.74086	761.7752	874.88924	502.34077	547.62513	637.11135	496.41774	559.98671	399.20878	417.53208	329.42894	776.7654200000001	372.63428
201811	20005	469.26344	893.74086	761.7752	874.88924	502.34077	547.62513	637.11135	496.41774	559.98671	399.20878	417.53208	329.42894	363.58438
201812	20005	372.63428	469.26344	893.74086	761.7752	874.88924	502.34077	547.62513	637.11135	496.41774	559.98671	399.20878	417.53208	409.8995
201901	20005	363.58438	372.63428	469.26344	893.74086	761.7752	874.88924	502.34077	547.62513	637.11135	496.41774	559.98671	399.20878	488.21387000000004
201902	20005	409.8995	363.58438	372.63428	469.26344	893.74086	761.7752	874.88924	502.34077	547.62513	637.11135	496.41774	559.98671	624.9988
201903	20005	488.21387000000004	409.8995	363.58438	372.63428	469.26344	893.74086	761.7752	874.88924	502.34077	547.62513	637.11135	496.41774	897.26297
201904	20005	624.9988	488.21387000000004	409.8995	363.58438	372.63428	469.26344	893.74086	761.7752	874.88924	502.34077	547.62513	637.11135	876.39696
201905	20005	897.26297	624.9988	488.21387000000004	409.8995	363.58438	372.63428	469.26344	893.74086	761.7752	874.88924	502.34077	547.62513	745.74978
201906	20005	876.39696	897.26297	624.9988	488.21387000000004	409.8995	363.58438	372.63428	469.26344	893.74086	761.7752	874.88924	502.34077	536.668
201907	20005	745.74978	876.39696	897.26297	624.9988	488.21387000000004	409.8995	363.58438	372.63428	469.26344	893.74086	761.7752	874.88924	879.52808
201908	20005	536.668	745.74978	876.39696	897.26297	624.9988	488.21387000000004	409.8995	363.58438	372.63428	469.26344	893.74086	761.7752	996.78275
201909	20005	879.52808	536.668	745.74978	876.39696	897.26297	624.9988	488.21387000000004	409.8995	363.58438	372.63428	469.26344	893.74086	606.91173
201910	20005	996.78275	879.52808	536.668	745.74978	876.39696	897.26297	624.9988	488.21387000000004	409.8995	363.58438	372.63428	469.26344	593.24443
201911	20005	606.91173	996.78275	879.52808	536.668	745.74978	876.39696	897.26297	624.9988	488.21387000000004	409.8995	363.58438	372.63428	
201912	20005	593.24443	606.91173	996.78275	879.52808	536.668	745.74978	876.39696	897.26297	624.9988	488.21387000000004	409.8995	363.58438	
201701	20006	528.40996												868.34182
201702	20006	599.1859000000001	528.40996											565.31925
201703	20006	868.34182	599.1859000000001	528.40996										813.17643
201704	20006	565.31925	868.34182	599.1859000000001	528.40996									698.31833
201705	20006	813.17643	565.31925	868.34182	599.1859000000001	528.40996								670.77751
201706	20006	698.31833	813.17643	565.31925	868.34182	599.1859000000001	528.40996							781.41139
201707	20006	670.77751	698.31833	813.17643	565.31925	868.34182	599.1859000000001	528.40996						599.26956
201708	20006	781.41139	670.77751	698.31833	813.17643	565.31925	868.34182	599.1859000000001	528.40996					866.99297
201709	20006	599.26956	781.41139	670.77751	698.31833	813.17643	565.31925	868.34182	599.1859000000001	528.40996				724.31168
201710	20006	866.99297	599.26956	781.41139	670.77751	698.31833	813.17643	565.31925	868.34182	599.1859000000001	528.40996			530.36517
201711	20006	724.31168	866.99297	599.26956	781.41139	670.77751	698.31833	813.17643	565.31925	868.34182	599.1859000000001	528.40996		470.33785
201712	20006	530.36517	724.31168	866.99297	599.26956	781.41139	670.77751	698.31833	813.17643	565.31925	868.34182	599.1859000000001	528.40996	588.56272
201801	20006	470.33785	530.36517	724.31168	866.99297	599.26956	781.41139	670.77751	698.31833	813.17643	565.31925	868.34182	599.1859000000001	862.19361
201802	20006	588.56272	470.33785	530.36517	724.31168	866.99297	599.26956	781.41139	670.77751	698.31833	813.17643	565.31925	868.34182	748.4439100000001
201803	20006	862.19361	588.56272	470.33785	530.36517	724.31168	866.99297	599.26956	781.41139	670.77751	698.31833	813.17643	565.31925	865.28861
201804	20006	748.4439100000001	862.19361	588.56272	470.33785	530.36517	724.31168	866.99297	599.26956	781.41139	670.77751	698.31833	813.17643	468.1526
201805	20006	865.28861	748.4439100000001	862.19361	588.56272	470.33785	530.36517	724.31168	866.99297	599.26956	781.41139	670.77751	698.31833	515.20419
201806	20006	468.1526	865.28861	748.4439100000001	862.19361	588.56272	470.33785	530.36517	724.31168	866.99297	599.26956	781.41139	670.77751	615.70617
201807	20006	515.20419	468.1526	865.28861	748.4439100000001	862.19361	588.56272	470.33785	530.36517	724.31168	866.99297	599.26956	781.41139	478.04388
201808	20006	615.70617	515.20419	468.1526	865.28861	748.4439100000001	862.19361	588.56272	470.33785	530.36517	724.31168	866.99297	599.26956	513.15472
201809	20006	478.04388	615.70617	515.20419	468.1526	865.28861	748.4439100000001	862.19361	588.56272	470.33785	530.36517	724.31168	866.99297	566.66809
201810	20006	513.15472	478.04388	615.70617	515.20419	468.1526	865.28861	748.4439100000001	862.19361	588.56272	470.33785	530.36517	724.31168	407.75925
201811	20006	566.66809	513.15472	478.04388	615.70617	515.20419	468.1526	865.28861	748.4439100000001	862.19361	588.56272	470.33785	530.36517	578.74461
201812	20006	407.75925	566.66809	513.15472	478.04388	615.70617	515.20419	468.1526	865.28861	748.4439100000001	862.19361	588.56272	470.33785	479.99914
201901	20006	578.74461	407.75925	566.66809	513.15472	478.04388	615.70617	515.20419	468.1526	865.28861	748.4439100000001	862.19361	588.56272	502.43741
